Település;KSH_kód;Belterület_Terület_(ha);Belterület_Vetület;Belterület_Méretarány;Belterület_Feldolgozás;Belterület_Felmérés_éve;Belterület_Helyesbítés_éve;Külterület_Terület_(ha);Külterület_Vetület;Külterület_Méretarány;Külterület_Feldolgozás;Külterület_Felmérés_éve;Külterület_Helyesbítés_éve;Zártkert_Terület_(ha);Zártkert_Vetület;Zártkert_Méretarány;Zártkert_Feldolgozás;Zártkert_Felmérés_éve;Zártkert_Helyesbítés_éve
Soltszentimre;1821;153;EOV;1:2000;-;1986;-;4296;EOV;1:4000;-;1986;-;0;;;-;-;-
Soltvadkert;1998;596;EOV;1:2000;-;1979;1989;10290;EOV;1:2000;-;1989;-;0;;;-;-;-
Sükösd;2124;361;DAT;1:2000;-;2005;-;9022;DAT;1:4000;-;2005;-;35;DAT;1:4000;-;2005;-
Szabadszállás;2506;451;EOV;1:2000;-;-;-;15764;EOV;1:4000;-;-;-;246;EOV;;-;-;-
Szakmár;1953;154;HKR;1:2000;-;1979;-;7212;HKR;1:2000;-;1979;-;49;HKR;1:2000;-;1979;-
Szalkszentmárton;1994;316;DAT;1:1000;-;2004;-;7832;DAT;1:4000;-;-;2004;62;DAT;;-;-;2004
Szank;1179;167;HKR;1:2000;-;1972;-;7188;Szt;1:2880;-;1961;1976;129;HKR;1:2880;-;1961;1976
Szentkirály;2112;133;EOV;1:2000;-;1981;-;10056;EOV;1:4000;-;1979;-;0;;;-;-;-
Szeremle;2882;107;EOV;1:2000;-;1992;-;3353;EOV;1:4000;-;1992;-;4;EOV;1:2000;-;1992;-
Tabdi;2543;131;EOV;1:2000;-;1986;-;2008;EOV;1:4000;-;1986;-;0;;;-;-;-
Tass;2052;228;Szt;1:2880;-;-;-;7219;Szt;1:4000;-;-;-;0;;;-;-;-
Tataháza;1454;168;Szt;1:2880;-;-;-;2442;Szt;1:2880;-;-;1977;0;;;-;-;-
Tázlár;2499;201;Szt;1:2880;-;-;1975;7103;Szt;1:2880;-;-;1977;0;;;-;-;-
Tiszaalpár;2454;354;EOV;1:2000;-;1978;1987;8731;EOV;1:4000;-;1987;-;28;EOV;1:2000;-;1987;-
Tiszakécske;3062;891;EOV;1:2000;-;1982;-;12164;EOV;1:4000;-;1982;-;272;EOV;1:4000;-;1982;-
Tiszaug;1409;100;EOV;1:2000;-;1982;-;2377;EOV;1:4000;-;1982;-;27;EOV;1:2000;-;1982;-
Tompa;2848;304;Szt;1:2000;-;1968;-;7813;Szt;1:4000;-;1968;1977;40;Szt;1:4000;-;1968;1977
Újsolt;878;53;EOV;1:2000;-;1987;-;3236;EOV;1:4000;-;1987;-;10;EOV;1:2000;-;1987;-
Újtelek;3360;113;HKR;1:2000;-;1979;-;843;HKR;1:2000;-;1979;-;0;;;-;-;-
Uszód;1629;132;HKR;1:2000;-;1971;-;2293;Szt;1:2880;-;1971;-;21;Szt;1:2880;-;1964;-
Városföld;1066;180;EOV;1:2000;-;1978;-;6107;EOV;1:4000;-;1997;-;0;;;-;-;-
Vaskút;2834;281;Szt;1:2880;-;1977;-;6869;Szt;1:2880;-;1978;-;0;;;-;-;-
Zsana;1515;65;EOV;1:2000;-;1979;-;8729;EOV;1:4000;-;1979;;0;;;-;-;-
